accX	accY	accZ	time	state
0.9074302	0.45970076	9.895537	1567954110445	none
0.9241901	0.4189981	9.921875	1567954110559	none
0.88588166	0.42139238	9.859624	1567954110675	none
0.9385557	0.3974496	9.857229	1567954110792	none
0.89067024	0.38068968	9.873989	1567954110906	none
0.9792584	0.46209505	9.8548355	1567954111020	none
0.95531565	0.38308397	9.859624	1567954111134	none
1.0271438	0.46927786	9.921875	1567954111253	none
1.350371	0.42139238	9.641745	1567954111370	none
1.2306572	0.53871185	10.029617	1567954111485	none
1.3910737	0.49800915	9.636956	1567954111601	none
1.2546	0.5219519	9.696813	1567954111715	none
1.1947432	0.55786604	9.850046	1567954111832	none
1.1372806	0.48124924	9.811738	1567954111946	none
1.1253091	0.4764607	9.715967	1567954112065	none
1.1492519	0.60335726	9.761458	1567954112180	none
1.0295382	0.5243462	9.8548355	1567954112296	none
1.1133378	0.531529	9.783007	1567954112413	none
1.0798179	0.56265455	9.828498	1567954112529	none
1.0798179	0.5602603	9.785401	1567954112643	none
1.1253091	0.53871185	9.768641	1567954112764	none
1.0846065	0.53392327	9.866806	1567954112880	none
1.063058	0.50998056	9.787795	1567954112995	none
0.9984126	0.54828894	9.869201	1567954113109	none
0.98404694	0.54350036	9.888355	1567954113223	none
1.0008069	0.5219519	9.876384	1567954113338	none
0.99362403	0.56744313	9.876384	1567954113456	none
1.0941836	0.4932206	9.771035	1567954113563	none
0.89545876	0.5363176	9.857229	1567954113681	none
0.9481328	0.4932206	9.862018	1567954113796	none
0.85236186	0.53392327	9.984126	1567954113911	none
0.9074302	0.43575802	9.809344	1567954114026	none
