gyrX	gyrY	gyrZ	time	state
0.03906361	-5.784894E-4	-0.018562363	1567954261010	none
0.05372438	-0.036008675	-0.03322313	1567954261124	none
0.017683327	-0.011574064	-0.0032907312	1567954261243	none
-0.012859935	0.00980622	0.016867822	1567954261357	none
-0.0030860913	0.005530163	0.059628386	1567954261472	none
-0.0067512826	-0.012795795	0.037026376	1567954261585	none
-0.007973013	-0.0042436807	-0.0051233266	1567954261701	none
0.04333967	-0.052502036	-0.032612264	1567954261816	none
0.056778703	-0.025623964	0.0083157085	1567954261926	none
-0.06539435	-0.022569638	0.008926574	1567954262037	none
-0.05073358	0.07822313	0.0077048433	1567954262147	none
-0.02874243	-0.016460985	0.02725253	1567954262254	none
0.019515922	-0.019515311	0.0034287865	1567954262373	none
-0.03424022	0.02019093	-0.0020690004	1567954262491	none
-0.03790541	0.0067518936	-0.008788518	1567954262609	none
0.024402846	0.00980622	0.0058722477	1567954262722	none
-0.0024752258	0.018358333	0.022976475	1567954262837	none
0.037231013	0.014082276	-0.030779667	1567954262952	none
-0.008583878	0.007973624	0.0052613826	1567954263070	none
0.014629001	-0.005465411	-0.03688832	1567954263189	none
0.016461598	-0.036619537	-0.01367544	1567954263305	none
0.042117935	-0.049447708	0.010759169	1567954263421	none
0.04333967	-0.0030219504	0.0058722477	1567954263538	none
-0.02507724	0.00980622	0.00953744	1567954263660	none
-0.016525127	-0.0018002199	-0.011231979	1567954263774	none
0.040285338	-0.059832416	-0.0014581353	1567954263891	none
0.006687753	0.015304007	0.0040396517	1567954264005	none
0.006687753	-0.0018002199	0.001596191	1567954264123	none
0.02134852	-0.034786943	-0.014286306	1567954264240	none
0.0060768877	0.036073424	0.035804644	1567954264356	none
0.041507073	-0.0042436807	-0.0014581353	1567954264473	none
0.108091384	-0.07327145	-0.03933178	1567954264588	none
-0.053787906	0.051345054	0.013813496	1567954264704	none
-3.176499E-5	0.029964773	-0.017340632	1567954264819	none
-0.0024752258	0.0049192975	-0.017951496	1567954264938	none
-0.018968588	0.008584489	-0.0069559226	1567954265053	none
-0.035461947	0.029964773	0.015035226	1567954265168	none
0.014629001	-0.017682716	-0.007566788	1567954265283	none
0.021959383	-0.020737043	0.012591765	1567954265404	none
0.0060768877	0.004308433	-0.0063450574	1567954265520	none
0.031122362	-0.032954346	0.0052613826	1567954265638	none
0.037231013	-0.060443282	0.0119809	1567954265752	none
0.0018008307	-0.015850121	-0.011231979	1567954265868	none
0.014018136	0.0018649716	-0.007566788	1567954265985	none
0.0072986176	0.0073627587	-0.0051233266	1567954266102	none
0.014018136	-0.010352333	-0.0051233266	1567954266216	none
0.03173323	-0.023180503	-0.0063450574	1567954266333	none
0.006687753	0.026910447	-0.0063450574	1567954266452	none
-0.009805609	-0.012795795	-0.007566788	1567954266569	none
-0.0061404174	-0.02745656	-0.008177653	1567954266684	none
0.023181114	0.00980622	0.0022070562	1567954266800	none
0.018294193	-0.015239255	-0.008177653	1567954266916	none
-0.0055295518	-0.009741468	3.744604E-4	1567954267033	none
-0.013470801	-0.0011893547	0.007093978	1567954267149	none
-0.039738007	-0.008519737	0.0040396517	1567954267264	none
-0.05623137	0.015304007	-0.017951496	1567954267380	none
-0.051344443	-5.784894E-4	0.017478688	1567954267495	none
-0.030575028	0.03362996	-0.008177653	1567954267613	none
-0.020801183	0.023245255	-0.01367544	1567954267729	none
-0.004307822	-0.017071852	-8.472701E-4	1567954267844	none
-0.0018643606	0.0116388155	0.0022070562	1567954267961	none
0.006687753	0.005530163	0.0022070562	1567954268076	none
0.0036334265	0.0073627587	-0.004512462	1567954268196	none
-0.05623137	-0.0011893547	-0.0057341917	1567954268313	none
-0.2608712	-0.009741468	0.04130243	1567954268434	none
-0.24315614	0.05256679	-0.02283842	1567954268549	none
0.05738957	0.034851696	-0.03688832	1567954268666	none
0.22965357	0.06417323	0.0083157085	1567954268779	none
0.17223224	-0.4110799	-0.09125532	1567954268884	none
-0.09593761	-0.02867829	0.089560784	1567954268988	none
-0.07883338	0.03424083	-0.014897171	1567954269093	none
-0.073335595	0.06539496	-0.011842845	1567954269200	none
0.08793283	-0.02867829	0.02114388	1567954269304	none
0.056167837	0.008584489	0.03336118	1567954269410	none
0.048226587	0.0018649716	0.01564609	1567954269517	none
0.008520349	0.022023525	-0.02406015	1567954269624	none
0.0011899655	-0.011574064	-0.0032907312	1567954269738	none
0.023181114	0.0024758368	0.0034287865	1567954269852	none
0.017683327	-0.040895596	0.0260308	1567954269972	none
0.034787554	-0.03539781	-0.0020690004	1567954270085	none
-0.017135993	-0.005465411	0.0052613826	1567954270201	none
-0.044014063	-5.784894E-4	0.0052613826	1567954270318	none
-0.021412048	0.0030867022	9.853257E-4	1567954270434	none
0.042117935	0.12709235	3.744604E-4	1567954270548	none
0.039674476	0.055010248	-0.07842715	1567954270653	none
-0.0024752258	-0.056167226	0.03336118	1567954270757	none
-0.100824535	0.004308433	0.054130603	1567954270861	none
-0.058674827	0.0024758368	0.074900016	1567954270967	none
-0.11059837	-0.0018002199	0.03519378	1567954271073	none
-0.03790541	-0.018293582	9.853257E-4	1567954271176	none
-0.03301849	-0.0011893547	-0.116911665	1567954271283	none
0.11420003	0.07028188	-0.15050927	1567954271389	none
-0.17962614	0.1808485	0.029085128	1567954271509	none
-0.17473923	0.17229638	0.07673261	1567954271625	none
0.01340727	0.03546256	-0.0063450574	1567954271741	none
-0.0018643606	0.02263439	-0.0057341917	1567954271856	none
0.014629001	0.015304007	0.007093978	1567954271973	none
-0.035461947	0.018969199	0.024198204	1567954272089	none
0.010963809	0.005530163	-0.0039015964	1567954272205	none
0.0072986176	-0.02623483	-0.004512462	1567954272321	none
0.059222165	-0.067162804	0.028474262	1567954272439	none
0.0060768877	0.015304007	0.013813496	1567954272554	none
0.0042442917	-0.0036328156	0.018700419	1567954272672	none
0.009131215	-0.011574064	0.05229801	1567954272786	none
-0.0012534955	-0.007908872	0.04435676	1567954272901	none
0.034787554	-0.07693665	0.050465412	1567954273016	none
0.18811473	-0.11175597	0.0052613826	1567954273130	none
-0.039738007	-0.014017525	0.018089551	1567954273245	none
-0.09715934	0.036073424	0.029085128	1567954273360	none
-0.25537345	0.026299581	-0.15783964	1567954273473	none
-0.33967286	0.06417323	-0.2482477	1567954273589	none
-0.2541517	0.20833741	-0.023449283	1567954273702	none
-0.10448972	0.050123326	0.22456202	1567954273818	none
-0.014692531	0.047069002	0.26243564	1567954273936	none
0.08243504	-0.10137125	0.023587339	1567954274052	none
-0.16435452	-0.04333906	0.023587339	1567954274167	none
0.052502647	-0.036008675	-0.044218704	1567954274282	none
0.02501371	0.04951246	0.007093978	1567954274399	none
0.0030225613	0.02263439	-0.034444857	1567954274513	none
0.051280916	0.01224968	-0.042386107	1567954274628	none
0.019515922	-0.009130603	-0.030168802	1567954274742	none
-0.004918687	-0.008519737	0.004650517	1567954274858	none
0.10442619	-0.05799982	-0.08025975	1567954274974	none
0.029900633	0.038516887	-0.008788518	1567954275089	none
-0.06600521	0.027521312	-0.050938223	1567954275208	none
0.030511497	-0.009130603	-0.09553138	1567954275322	none
-0.01224907	-0.012184929	0.004650517	1567954275440	none
0.05311351	-0.02623483	-0.0069559226	1567954275548	none
0.056167837	0.036684293	0.06756964	1567954275663	none
-0.029964162	0.031186502	-0.01367544	1567954275779	none
-0.06600521	-0.026845695	0.004650517	1567954275898	none
0.02501371	-0.050058573	0.012591765	1567954276012	none
-0.045235794	0.057453707	0.023587339	1567954276128	none
-0.22605191	-0.057388958	-0.030168802	1567954276242	none
-0.008583878	0.0061410284	-0.018562363	1567954276355	none
-0.004307822	-0.01462839	0.0400807	1567954276469	none
0.12641734	0.106933795	0.0260308	1567954276588	none
-0.028131567	-0.070217125	-0.1376811	1567954276694	none
-0.10510059	0.047679868	0.0028179213	1567954276798	none
-0.03790541	0.0030867022	-0.02528188	1567954276903	none
-0.012859935	0.02263439	-0.011231979	1567954277009	none
-0.017746856	-0.010352333	0.04130243	1567954277115	none
-0.04462493	-0.016460985	0.0040396517	1567954277221	none
-0.05623137	0.015304007	0.0040396517	1567954277327	none
0.017072462	0.031797368	0.0083157085	1567954277440	none
0.23942742	0.06600582	0.18302317	1567954277560	none
-0.10387886	-0.08548876	-0.084535815	1567954277674	none
-0.024466375	0.0330191	0.050465412	1567954277790	none
0.023791978	0.014693142	-0.022227554	1567954277907	none
-0.0024752258	0.0036975672	0.048632815	1567954278023	none
-0.0574531	0.009195355	0.015035226	1567954278139	none
-0.027520701	-0.04394992	-0.06498812	1567954278254	none
0.015850732	0.0030867022	0.05290887	1567954278369	none
0.020126788	0.024466986	0.029695991	1567954278484	none
0.028678901	0.020801794	0.0034287865	1567954278598	none
0.031122362	0.045236405	0.0058722477	1567954278713	none
0.011574674	-0.009741468	-0.030168802	1567954278830	none
-0.011027339	0.015304007	0.0260308	1567954278946	none
0.023181114	-0.06349761	-0.013064575	1567954279060	none
0.025624575	0.036684293	-0.0057341917	1567954279175	none
-0.080665976	-0.0793801	-0.07537283	1567954279279	none
